"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
106,0.0269425210178751,35052.4879510082,61768.8419552922,1.1979468137427,1.39619651750132,26716.354004284,0.198249703758621,134761.12951378,-17795.117335146
107,0.0266523615316353,37657.4417630973,78407.7861863061,1.02704198741669,1.262697686423,40750.3444232088,0.235655699006314,172923.229079714,-30145.8379679247
108,0.025561622854403,39784.5631891212,69900.3132478747,1.14899127030075,1.26474275245677,30115.7500587535,0.115751482156023,260175.934664579,-24906.9333617325
109,0.0252465758685983,43096.0974634104,73115.2805928503,1.19326332466442,1.35078710574244,30019.1831294399,0.157523781078016,190569.213892679,-22930.6129809292
110,0.0249760699417841,45197.4225315109,80012.6074311577,1.09400080646012,1.28353543698381,34815.1848996468,0.189534630523682,183687.723997735,-26286.1265260811
111,0.0266699652319534,39436.3309234276,68680.1737404805,1.17589208031644,1.30681120425346,29243.8428170529,0.130919123937021,223373.346365507,-23352.482239887
112,0.0250959184324479,40769.2649832665,74765.1211959462,1.19449210425953,1.33530989624421,33995.8562126797,0.140817791984674,241417.336073412,-27659.0555733694
113,0.0257834294656102,38242.5373210075,69279.8954331609,1.37827982358135,1.52561626510591,31037.3581121534,0.147336441524557,210656.357592159,-24407.2182435483
114,0.0261253540061228,39450.2884819661,72585.0314287818,1.1623371497569,1.3354190901151,33134.7429468157,0.173081940358194,191439.631877497,-25346.0556306969
115,0.0255448807981866,37526.1270687761,67200.247615915,1.2655636140302,1.45372952017857,29674.1205471389,0.188165906148376,157701.898045971,-21206.654770462
116,0.0268441892151673,44483.7608983439,76267.648602205,1.132146538991,1.33040705343489,31783.8877038611,0.198260514443892,160313.755832889,-22862.1645538859
117,0.0266116687118086,36382.2366008477,63425.1611208009,1.11589762758603,1.30830270582397,27042.9245199531,0.192405078237945,140552.030994262,-18384.6959992456
118,0.0250735531046583,38590.3774556969,73394.7172482711,1.11238567082113,1.22285732407422,34804.3397925742,0.110471653253085,315052.221702877,-29833.1153961854
119,0.0263937395330635,42175.5121910602,68395.5365280442,1.24528428056622,1.38475153877466,26220.024336984,0.139467258208439,188001.289146999,-19943.9977176042
120,0.0271708215363488,40058.0872528024,72014.6071618924,1.22451998524189,1.47058707356416,31956.5199090901,0.246067088322264,129869.134986626,-20883.5009345882
121,0.0265578718153019,37351.177601033,76218.321830488,1.22601101952616,1.41852554978374,38867.144229455,0.192514530257583,201892.003566957,-30203.9903678637
122,0.0258830915301764,48149.0376030232,79919.0831491403,1.2182381406519,1.39786427435506,31770.0455461171,0.179626133703159,176867.613253975,-23686.869529475
123,0.0283016917096259,36204.9563105678,63186.3099364991,1.14634422721204,1.30588639770675,26981.3536259313,0.159542170494708,169117.378447765,-19801.9559536695
124,0.0242581975926116,42052.349583473,65050.3265365187,1.31359383539242,1.43447046479911,22997.9769530457,0.120876629406685,190259.912655818,-17558.5286297448
125,0.0276271344495602,37356.1837963384,63627.4749170855,1.05860812081876,1.23922370598362,26271.2911207471,0.180615585164857,145454.176043379,-18143.5897883285
126,0.0242869967198905,43609.8656558312,76776.3831384936,1.25274233314007,1.39905394414433,33166.5174826624,0.146311611004256,226684.111090115,-26582.4949874709
127,0.0275650912084169,38699.4686571955,73784.1646811642,1.22114682081669,1.3903925683292,35084.6960239687,0.169245747512514,207300.310581656,-27468.6373859056
128,0.026116486962729,49730.1956503086,83789.5295704807,1.21966227450035,1.39844165440309,34059.3339201722,0.178779379902736,190510.415343771,-26014.2618245491
